01 F 19 inu      13 20 13 14 14
02 F 23 neko     14 23 20 15 13
03 M 20 tori     23 22 18 13 13
04 M 21 tori     24 21 13 17 13
05 F 18 neko     22 24 15 16 22
06 M 19 inu      12 20 22 22 14
07 M 20 tori     20 19 16 19 15
08 M 20 inu      15 22 24 18 15
09 F 21 neko     17 24 21 13 19
10 M 18 tori     22 24 14 15 13
11 F 18 tori     19 22 21 14 14
12 F 19 neko     17 24 14 15 13
13 F 20 inu      12 21 16 23 18
14 F 21 inu      23 24 17 14 16
15 M 22 inu      23 24 21 13 15
16 F 19 neko     17 23 19 18 15
17 M 18 tori     23 22 19 15 15
18 F 22 inu      24 24 22 15 17
19 F 22 neko     20 17 21 20 18
20 M 19 inu      19 24 16 14 14
21 M 18 neko     24 18 12 16 17
22 F 21 tori     12 21 17 20 09
23 M 19 neko     23 19 14 21 12
24 F 20 tori     16 11 18 21 22
25 F 22 inu      21 24 17 16 11
26 M 19 neko     11 17 18 12 16
27 F 22 tori     22 11 24 18 19
28 F 21 inu      23 21 22 08 11
29 M 19 neko     14 19 07 18 15
30 F 18 tori     23 08 11 27 13

